pages,publication,dow,week,year,adverts,volume
24,EDP PROP,5,33,2023,11,2817
12,EDT PROP,4,33,2023,8,1334
56,BUED,2,34,2023,4,73
8,HHE PROP,4,33,2023,6,1642
32,AYA,2,34,2023,19,1249
8,ARG PROP,3,33,2023,1,288
80,SHE,0,33,2023,3,573
24,HER,2,34,2023,22,1817
22,HER,1,34,2023,15,1318
40,ETI,2,34,2023,19,1112
40,ETI,1,34,2023,19,1166
32,GRT,2,34,2023,26,1152
32,GRT,1,34,2023,32,1627
56,BWM,2,34,2023,78,3419
32,DOR,2,34,2023,79,2771
32,DOR,1,34,2023,87,2309
32,BDE,2,34,2023,88,2179
40,BDE,1,34,2023,126,3422
4,TSF WRAP,6,33,2023,9,928
60,TSF,6,33,2023,92,3178
4,WIT WRAP,5,33,2023,4,1049
4,SWA WRAP,5,33,2023,4,1049
4,WGC WRAP,4,33,2023,4,1049
4,WGMG WRAP,4,33,2023,4,1049
4,WGH WRAP,4,33,2023,4,1049
40,WSW,4,33,2023,11,1732
40,RSW,4,33,2023,14,1229
40,ESW,4,33,2023,14,838
24,EDP PROP,5,32,2023,11,2530
24,HT HTSP,4,33,2023,1,44
72,IMR,4,33,2023,131,2828
8,SCG SCGS,4,33,2023,8,732
4,IOW WRAP,5,33,2023,4,851
12,EDT PROP,4,32,2023,7,1321
40,PBL,5,33,2023,35,1634
48,ELC,4,33,2023,64,2225
32,CFT,4,33,2023,49,3407
40,BOR,3,33,2023,29,1612
88,SCG,4,33,2023,113,4848
40,TP,2,34,2023,35,1880
40,TP,1,34,2023,35,1771
40,TA,2,34,2023,45,2055
40,TA,1,34,2023,43,2136
40,BEXE,3,33,2023,4,905
4,WO WRAP,4,33,2023,4,1103
4,IG WRAP,4,33,2023,4,1103
56,BUED,2,33,2023,4,73
8,EEN NEN SUP1,6,32,2023,8,595
8,EDP EDPSP2,6,32,2023,9,639
48,SXWO,4,33,2023,1,44
48,HL,4,33,2023,5,221
40,BWTH,4,33,2023,3,398
40,BWTM,4,33,2023,5,428
8,HHE PROP,4,32,2023,6,1642
56,BWD,5,33,2023,2,108
56,RORF,5,33,2023,2,108
